timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1750777115904,345,ObtenerArtista,200,OK,PruebaHumoSpotify 1-2,text,true,,1518,312,4,4,https://api.spotify.com/v1/artists/4gzpq5DPGxSnKTe4SA8HAU,345,0,122
1750777115904,356,ObtenerArtista,200,OK,PruebaHumoSpotify 1-1,text,true,,1518,312,4,4,https://api.spotify.com/v1/artists/3AA28KZvwAUcZuOKwyblJQ,356,0,121
1750777115919,370,ObtenerArtista,200,OK,PruebaHumoSpotify 1-4,text,true,,1554,312,4,4,https://api.spotify.com/v1/artists/3WrFJ7ztbogyGnTHbHJFl2,370,0,118
1750777117224,331,TokenSpotify,200,OK,PruebaHumoSpotify 1-3,text,true,,972,340,4,4,https://accounts.spotify.com/api/token,331,0,123
1750777117255,328,TokenSpotify,200,OK,PruebaHumoSpotify 1-2,text,true,,972,340,4,4,https://accounts.spotify.com/api/token,328,0,121
1750777117262,328,TokenSpotify,200,OK,PruebaHumoSpotify 1-1,text,true,,972,340,4,4,https://accounts.spotify.com/api/token,328,0,121
1750777117293,324,TokenSpotify,200,OK,PruebaHumoSpotify 1-4,text,true,,973,340,4,4,https://accounts.spotify.com/api/token,324,0,118
1750777118557,373,ObtenerArtista,200,OK,PruebaHumoSpotify 1-3,text,true,,1529,312,4,4,https://api.spotify.com/v1/artists/66CXWjxzNUsdJxJ2JdwvnR,373,0,141
1750777118589,347,ObtenerArtista,200,OK,PruebaHumoSpotify 1-2,text,true,,1646,312,4,4,https://api.spotify.com/v1/artists/1dfeR4HaWDbWqFHLkxsg1d,347,0,126
1750777118604,343,ObtenerArtista,200,OK,PruebaHumoSpotify 1-1,text,true,,1525,312,4,4,https://api.spotify.com/v1/artists/5K4W6rqBFWDnAN6FQUkS6x,343,0,129
1750777118620,377,ObtenerArtista,200,OK,PruebaHumoSpotify 1-4,text,true,,1521,312,4,4,https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ,377,0,132
1750777119932,334,TokenSpotify,200,OK,PruebaHumoSpotify 1-3,text,true,,973,340,4,4,https://accounts.spotify.com/api/token,334,0,119
1750777119949,326,TokenSpotify,200,OK,PruebaHumoSpotify 1-1,text,true,,973,340,4,4,https://accounts.spotify.com/api/token,326,0,120
1750777119947,333,TokenSpotify,200,OK,PruebaHumoSpotify 1-2,text,true,,973,340,4,4,https://accounts.spotify.com/api/token,332,0,122
1750777119999,329,TokenSpotify,200,OK,PruebaHumoSpotify 1-4,text,true,,972,340,4,4,https://accounts.spotify.com/api/token,329,0,121
1750777121293,353,ObtenerArtista,200,OK,PruebaHumoSpotify 1-2,text,true,,1520,312,4,4,https://api.spotify.com/v1/artists/3TVXtAsR1Inumwj472S9r4,353,0,119
1750777121339,339,ObtenerArtista,200,OK,PruebaHumoSpotify 1-4,text,true,,1554,312,4,4,https://api.spotify.com/v1/artists/2YZyLoL8N0Wb9xBt1NhZWg,338,0,120
1750777121277,401,ObtenerArtista,200,OK,PruebaHumoSpotify 1-1,text,true,,1517,312,4,4,https://api.spotify.com/v1/artists/0TnOYISbd1XYRBk9myaseg,401,0,117
1750777121268,417,ObtenerArtista,200,OK,PruebaHumoSpotify 1-3,text,true,,1532,312,4,4,https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR,417,0,122
1750777122652,292,TokenSpotify,200,OK,PruebaHumoSpotify 1-2,text,true,,972,340,4,4,https://accounts.spotify.com/api/token,292,0,120
1750777122684,325,TokenSpotify,200,OK,PruebaHumoSpotify 1-1,text,true,,973,340,4,4,https://accounts.spotify.com/api/token,325,0,121
1750777122688,325,TokenSpotify,200,OK,PruebaHumoSpotify 1-3,text,true,,972,340,4,4,https://accounts.spotify.com/api/token,325,0,125
1750777122684,333,TokenSpotify,200,OK,PruebaHumoSpotify 1-4,text,true,,972,340,4,4,https://accounts.spotify.com/api/token,333,0,123
1750777123946,348,ObtenerArtista,200,OK,PruebaHumoSpotify 1-2,text,true,,1534,312,4,4,https://api.spotify.com/v1/artists/1HY2Jd0NmPuamShAr6KMms,347,0,120
1750777124011,371,ObtenerArtista,200,OK,PruebaHumoSpotify 1-1,text,true,,1525,312,4,4,https://api.spotify.com/v1/artists/3fMbdgg4jU18AjLCKBhRSm,371,0,120
1750777124032,351,ObtenerArtista,200,OK,PruebaHumoSpotify 1-4,text,true,,1523,312,4,4,https://api.spotify.com/v1/artists/1uNFoZAHBGtllmzznpCI3s,351,0,120
1750777124016,384,ObtenerArtista,200,OK,PruebaHumoSpotify 1-3,text,true,,1535,312,4,4,https://api.spotify.com/v1/artists/1Cs0zKBU1kc0i8ypK3B9ai,384,0,121
1750777125297,340,TokenSpotify,200,OK,PruebaHumoSpotify 1-2,text,true,,973,340,4,4,https://accounts.spotify.com/api/token,340,0,124
1750777125391,316,TokenSpotify,200,OK,PruebaHumoSpotify 1-1,text,true,,972,340,4,4,https://accounts.spotify.com/api/token,316,0,119
1750777125391,328,TokenSpotify,200,OK,PruebaHumoSpotify 1-4,text,true,,972,340,4,4,https://accounts.spotify.com/api/token,328,0,122
1750777125407,327,TokenSpotify,200,OK,PruebaHumoSpotify 1-3,text,true,,972,340,4,4,https://accounts.spotify.com/api/token,327,0,121
1750777126643,348,ObtenerArtista,200,OK,PruebaHumoSpotify 1-2,text,true,,1520,312,4,4,https://api.spotify.com/v1/artists/0du5cEVh5yTK9QJze8zA0C,348,0,121
1750777126721,339,ObtenerArtista,200,OK,PruebaHumoSpotify 1-1,text,true,,1525,312,4,4,https://api.spotify.com/v1/artists/64KEffDW9EtZ1y2vBYgq8T,339,0,119
1750777126737,344,ObtenerArtista,200,OK,PruebaHumoSpotify 1-3,text,true,,1518,312,4,4,https://api.spotify.com/v1/artists/3AA28KZvwAUcZuOKwyblJQ,344,0,120
1750777126721,404,ObtenerArtista,200,OK,PruebaHumoSpotify 1-4,text,true,,1516,312,4,4,https://api.spotify.com/v1/artists/4NHQUGzhtTLFvgF5SZesLK,404,0,119
1750777128005,328,TokenSpotify,200,OK,PruebaHumoSpotify 1-2,text,true,,972,340,4,4,https://accounts.spotify.com/api/token,328,0,122
1750777128068,323,TokenSpotify,200,OK,PruebaHumoSpotify 1-1,text,true,,972,340,4,4,https://accounts.spotify.com/api/token,323,0,119
1750777128083,327,TokenSpotify,200,OK,PruebaHumoSpotify 1-3,text,true,,972,340,4,4,https://accounts.spotify.com/api/token,327,0,120
1750777128130,311,TokenSpotify,200,OK,PruebaHumoSpotify 1-4,text,true,,972,340,4,4,https://accounts.spotify.com/api/token,311,0,114
1750777129335,341,ObtenerArtista,200,OK,PruebaHumoSpotify 1-2,text,true,,1518,312,4,4,https://api.spotify.com/v1/artists/4gzpq5DPGxSnKTe4SA8HAU,341,0,120
1750777129411,342,ObtenerArtista,200,OK,PruebaHumoSpotify 1-3,text,true,,1529,312,4,4,https://api.spotify.com/v1/artists/66CXWjxzNUsdJxJ2JdwvnR,342,0,120
1750777129397,357,ObtenerArtista,200,OK,PruebaHumoSpotify 1-1,text,true,,1554,312,4,4,https://api.spotify.com/v1/artists/3WrFJ7ztbogyGnTHbHJFl2,357,0,121
1750777129442,323,ObtenerArtista,200,OK,PruebaHumoSpotify 1-4,text,true,,1646,312,4,4,https://api.spotify.com/v1/artists/1dfeR4HaWDbWqFHLkxsg1d,323,0,119
1750777130677,311,TokenSpotify,200,OK,PruebaHumoSpotify 1-2,text,true,,972,340,4,4,https://accounts.spotify.com/api/token,311,0,114
1750777130755,314,TokenSpotify,200,OK,PruebaHumoSpotify 1-3,text,true,,972,340,4,4,https://accounts.spotify.com/api/token,314,0,117
1750777130770,317,TokenSpotify,200,OK,PruebaHumoSpotify 1-4,text,true,,972,340,4,4,https://accounts.spotify.com/api/token,317,0,118
1750777130770,318,TokenSpotify,200,OK,PruebaHumoSpotify 1-1,text,true,,972,340,4,4,https://accounts.spotify.com/api/token,318,0,118
1750777131990,322,ObtenerArtista,200,OK,PruebaHumoSpotify 1-2,text,true,,1525,312,4,4,https://api.spotify.com/v1/artists/5K4W6rqBFWDnAN6FQUkS6x,322,0,117
1750777132070,347,ObtenerArtista,200,OK,PruebaHumoSpotify 1-3,text,true,,1521,312,4,4,https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ,347,0,124
1750777132089,374,ObtenerArtista,200,OK,PruebaHumoSpotify 1-1,text,true,,1532,312,4,4,https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR,374,0,127
1750777132089,369,ObtenerArtista,200,OK,PruebaHumoSpotify 1-4,text,true,,1520,312,4,4,https://api.spotify.com/v1/artists/3TVXtAsR1Inumwj472S9r4,369,0,121
1750777133314,323,TokenSpotify,200,OK,PruebaHumoSpotify 1-2,text,true,,972,340,4,4,https://accounts.spotify.com/api/token,323,0,120
1750777133423,315,TokenSpotify,200,OK,PruebaHumoSpotify 1-3,text,true,,972,340,4,4,https://accounts.spotify.com/api/token,315,0,117
1750777133470,312,TokenSpotify,200,OK,PruebaHumoSpotify 1-4,text,true,,972,340,4,4,https://accounts.spotify.com/api/token,312,0,117
1750777133470,323,TokenSpotify,200,OK,PruebaHumoSpotify 1-1,text,true,,972,340,4,4,https://accounts.spotify.com/api/token,323,0,117
1750777134639,347,ObtenerArtista,200,OK,PruebaHumoSpotify 1-2,text,true,,1517,312,4,4,https://api.spotify.com/v1/artists/0TnOYISbd1XYRBk9myaseg,347,0,120
1750777134748,344,ObtenerArtista,200,OK,PruebaHumoSpotify 1-3,text,true,,1554,312,4,4,https://api.spotify.com/v1/artists/2YZyLoL8N0Wb9xBt1NhZWg,344,0,121
1750777134795,342,ObtenerArtista,200,OK,PruebaHumoSpotify 1-1,text,true,,1523,312,4,4,https://api.spotify.com/v1/artists/1uNFoZAHBGtllmzznpCI3s,342,0,116
1750777134795,350,ObtenerArtista,200,OK,PruebaHumoSpotify 1-4,text,true,,1534,312,4,4,https://api.spotify.com/v1/artists/1HY2Jd0NmPuamShAr6KMms,350,0,116
1750777135987,317,TokenSpotify,200,OK,PruebaHumoSpotify 1-2,text,true,,972,340,4,4,https://accounts.spotify.com/api/token,317,0,118
1750777136097,304,TokenSpotify,200,OK,PruebaHumoSpotify 1-3,text,true,,973,340,4,4,https://accounts.spotify.com/api/token,304,0,117
1750777136141,323,TokenSpotify,200,OK,PruebaHumoSpotify 1-1,text,true,,972,340,4,4,https://accounts.spotify.com/api/token,323,0,118
1750777136148,319,TokenSpotify,200,OK,PruebaHumoSpotify 1-4,text,true,,972,340,4,4,https://accounts.spotify.com/api/token,318,0,118
1750777137315,334,ObtenerArtista,200,OK,PruebaHumoSpotify 1-2,text,true,,1525,312,4,4,https://api.spotify.com/v1/artists/3fMbdgg4jU18AjLCKBhRSm,334,0,115
